,PFAM,count,p,enrichment,species,p_BHadj
24,CHAP,53,0.000999000999000999,VMGC,619501,0.018981018981018984
8,Methylase_S,124,0.000999000999000999,VMGC,619501,0.018981018981018984
9,HTH_3,62,0.004995004995004995,VMGC,619501,0.05694305694305695
7,N6_Mtase,29,0.006993006993006993,VMGC,619501,0.05694305694305695
23,Recombinase,22,0.007992007992007992,VMGC,619501,0.05694305694305695
17,N6_N4_Mtase,47,0.008991008991008992,VMGC,619501,0.05694305694305695
14,DNA_methylase,24,0.012987012987012988,VMGC,619501,0.0705009276437848
28,ANT,15,0.017982017982017984,VMGC,619501,0.08436008436008437
29,Bro-N,15,0.01998001998001998,VMGC,619501,0.08436008436008437
27,Sigma70_r4,25,0.03196803196803197,VMGC,619501,0.11043501952592862
11,Phage_int_SAM_3,25,0.029970029970029972,VMGC,619501,0.11043501952592862
4,FIVAR,36,0.03896103896103896,VMGC,619501,0.11117453974596833
12,Phage_integrase,38,0.03996003996003996,VMGC,619501,0.11117453974596833
30,Phage_holin_1,12,0.04095904095904096,VMGC,619501,0.11117453974596833
20,ResIII,35,0.053946053946053944,VMGC,619501,0.13523976023976025
13,EcoRI_methylase,10,0.056943056943056944,VMGC,619501,0.13523976023976025
19,HSDR_N,15,0.07592407592407592,VMGC,619501,0.16971264030087557
25,CW_binding_1,29,0.11688311688311688,VMGC,619501,0.24675324675324675
6,HsdM_N,17,0.13186813186813187,VMGC,619501,0.25054945054945055
31,Resolvase,17,0.1258741258741259,VMGC,619501,0.25054945054945055
35,Zn_ribbon_recom,11,0.16483516483516483,VMGC,619501,0.2982731554160125
22,HTH_26,20,0.17382617382617382,VMGC,619501,0.3002452093361184
5,GA,17,0.38161838161838163,VMGC,619501,0.6073926073926075
32,PhdYeFM_antitox,11,0.3836163836163836,VMGC,619501,0.6073926073926075
2,TetR_N,17,0.4045954045954046,VMGC,619501,0.614985014985015
21,Flg_new,44,0.46653346653346656,VMGC,619501,0.6818566049335281
18,TypeIII_RM_meth,12,0.5074925074925075,VMGC,619501,0.7142487142487143
1,ParE_toxin,13,0.5984015984015985,VMGC,619501,0.812116454973598
0,RelB,22,0.6263736263736264,VMGC,619501,0.8207654414550966
3,NLPC_P60,18,0.7562437562437563,VMGC,619501,0.957908757908758
33,AAA_14,14,0.936063936063936,VMGC,619501,1.0
34,DUF4143,13,0.9560439560439561,VMGC,619501,1.0
26,ABC_membrane,13,0.986013986013986,VMGC,619501,1.0
36,PTS_EIIA_2,11,0.998001998001998,VMGC,619501,1.0
10,SIS,10,0.998001998001998,VMGC,619501,1.0
16,PTS_IIB,15,0.999000999000999,VMGC,619501,1.0
15,ABC_tran,74,1.0,VMGC,619501,1.0
37,BPD_transp_1,15,1.0,VMGC,619501,1.0
